Date,Day,Hour,Dish,Amount
02/01/25,Thursday,14,Sandwich,2
02/01/25,Thursday,14,Burger,8
02/01/25,Thursday,14,Burger,7
02/01/25,Thursday,14,Soup,10
02/01/25,Thursday,15,Soup,10
02/01/25,Thursday,15,Salad,1
02/01/25,Thursday,15,Pizza,0
02/01/25,Thursday,15,Pizza,2
02/01/25,Thursday,15,Pizza,7
02/01/25,Thursday,15,Sandwich,7
02/01/25,Thursday,15,Soup,2
02/01/25,Thursday,15,Pizza,8
02/01/25,Thursday,16,Tacos,3
02/01/25,Thursday,16,Tacos,3
02/01/25,Thursday,16,Salad,5
02/01/25,Thursday,16,Salad,6
02/01/25,Thursday,16,Sandwich,1
02/01/25,Thursday,16,Curry,5
02/01/25,Thursday,16,Tacos,5
02/01/25,Thursday,16,Sandwich,9
02/01/25,Thursday,17,Salad,7
02/01/25,Thursday,17,Soup,0
02/01/25,Thursday,17,Sandwich,4
02/01/25,Thursday,17,Sandwich,7
02/01/25,Thursday,17,Soup,8
02/01/25,Thursday,17,Salad,6
02/01/25,Thursday,17,Sandwich,7
02/01/25,Thursday,17,Sushi,2
02/01/25,Thursday,18,Soup,8
02/01/25,Thursday,18,Pizza,4
02/01/25,Thursday,18,Burger,9
02/01/25,Thursday,18,Sandwich,8
02/01/25,Thursday,18,Sandwich,5
02/01/25,Thursday,19,Sushi,9
02/01/25,Thursday,19,Curry,7
02/01/25,Thursday,19,Sandwich,9
02/01/25,Thursday,19,Curry,7
02/01/25,Thursday,19,Tacos,9
02/01/25,Thursday,19,Burger,10
02/01/25,Thursday,19,Sushi,1
02/01/25,Thursday,19,Salad,6
02/01/25,Thursday,20,Salad,9
02/01/25,Thursday,20,Pizza,10
02/01/25,Thursday,20,Sandwich,4
02/01/25,Thursday,20,Sushi,4
02/01/25,Thursday,21,Burger,7
02/01/25,Thursday,21,Soup,1
02/01/25,Thursday,21,Salad,10
02/01/25,Thursday,21,Sandwich,4
02/01/25,Thursday,21,Salad,5
02/01/25,Thursday,21,Burger,8
02/01/25,Thursday,21,Burger,9
02/01/25,Thursday,21,Sandwich,4
02/01/25,Thursday,22,Sandwich,8
02/01/25,Thursday,22,Sandwich,5
02/01/25,Thursday,22,Salad,0
02/01/25,Thursday,22,Soup,10
02/01/25,Thursday,22,Sushi,0
02/01/25,Thursday,23,Pizza,2
02/01/25,Thursday,23,Tacos,5
02/01/25,Thursday,23,Tacos,0
02/01/25,Thursday,23,Pizza,3
02/01/25,Thursday,23,Tacos,9
02/01/25,Thursday,23,Soup,1
02/01/25,Thursday,23,Burger,2
02/01/25,Thursday,23,Soup,7
03/01/25,Friday,0,Soup,3
03/01/25,Friday,0,Sandwich,4
03/01/25,Friday,0,Sandwich,1
03/01/25,Friday,1,Sandwich,9
03/01/25,Friday,1,Sandwich,10
03/01/25,Friday,1,Tacos,6
03/01/25,Friday,1,Tacos,1
03/01/25,Friday,1,Salad,8
03/01/25,Friday,2,Soup,0
03/01/25,Friday,2,Sushi,9
03/01/25,Friday,2,Tacos,1
03/01/25,Friday,2,Soup,9
03/01/25,Friday,3,Soup,1
03/01/25,Friday,3,Sandwich,2
03/01/25,Friday,3,Pizza,1
03/01/25,Friday,3,Burger,0
03/01/25,Friday,3,Tacos,7
03/01/25,Friday,3,Sushi,0
03/01/25,Friday,4,Soup,9
03/01/25,Friday,4,Sandwich,3
03/01/25,Friday,4,Sushi,4
03/01/25,Friday,4,Sandwich,6
03/01/25,Friday,4,Salad,7
03/01/25,Friday,4,Tacos,0
03/01/25,Friday,4,Burger,4
03/01/25,Friday,4,Sandwich,0
03/01/25,Friday,5,Pizza,10
03/01/25,Friday,5,Burger,1
03/01/25,Friday,5,Soup,6
03/01/25,Friday,5,Curry,9
03/01/25,Friday,5,Sushi,1
03/01/25,Friday,5,Salad,4
03/01/25,Friday,6,Tacos,1
03/01/25,Friday,6,Sandwich,3
03/01/25,Friday,6,Burger,2
03/01/25,Friday,6,Salad,5
03/01/25,Friday,6,Sandwich,5
03/01/25,Friday,7,Soup,6
03/01/25,Friday,7,Burger,3
03/01/25,Friday,7,Burger,2
03/01/25,Friday,7,Pizza,7
03/01/25,Friday,8,Tacos,2
03/01/25,Friday,8,Sandwich,1
03/01/25,Friday,8,Soup,8
03/01/25,Friday,8,Burger,0
03/01/25,Friday,8,Sushi,1
03/01/25,Friday,8,Sandwich,4
03/01/25,Friday,8,Sandwich,8
03/01/25,Friday,9,Sushi,5
03/01/25,Friday,9,Sandwich,8
03/01/25,Friday,9,Curry,5
03/01/25,Friday,9,Sandwich,8
03/01/25,Friday,9,Burger,6
03/01/25,Friday,9,Sandwich,2
03/01/25,Friday,9,Burger,1
03/01/25,Friday,9,Sandwich,7
03/01/25,Friday,10,Soup,10
03/01/25,Friday,10,Salad,7
03/01/25,Friday,10,Soup,9
03/01/25,Friday,10,Salad,0
03/01/25,Friday,10,Sandwich,0
03/01/25,Friday,10,Sandwich,0
03/01/25,Friday,10,Curry,0
03/01/25,Friday,11,Sandwich,6
03/01/25,Friday,11,Sandwich,3
03/01/25,Friday,11,Curry,8
03/01/25,Friday,12,Sandwich,5
03/01/25,Friday,12,Sandwich,1
03/01/25,Friday,12,Curry,10
03/01/25,Friday,12,Soup,4
03/01/25,Friday,12,Sushi,10
03/01/25,Friday,12,Curry,8
03/01/25,Friday,12,Tacos,9
03/01/25,Friday,13,Soup,6
03/01/25,Friday,13,Burger,0
03/01/25,Friday,13,Sushi,9
03/01/25,Friday,13,Sandwich,1
03/01/25,Friday,13,Sandwich,2
03/01/25,Friday,13,Soup,5
03/01/25,Friday,13,Sandwich,8
03/01/25,Friday,13,Burger,0
03/01/25,Friday,14,Salad,5
03/01/25,Friday,14,Sandwich,4
03/01/25,Friday,14,Curry,9
03/01/25,Friday,14,Salad,4
03/01/25,Friday,15,Curry,1
03/01/25,Friday,15,Pizza,2
03/01/25,Friday,15,Sandwich,3
03/01/25,Friday,15,Sandwich,5
03/01/25,Friday,15,Burger,5
03/01/25,Friday,15,Sandwich,7
03/01/25,Friday,16,Salad,8
03/01/25,Friday,16,Sushi,7
03/01/25,Friday,16,Sandwich,5
03/01/25,Friday,16,Sandwich,5
03/01/25,Friday,16,Sandwich,4
03/01/25,Friday,17,Soup,1
03/01/25,Friday,17,Curry,3
03/01/25,Friday,17,Soup,1
03/01/25,Friday,17,Sandwich,0
03/01/25,Friday,17,Sandwich,2
03/01/25,Friday,17,Tacos,1
03/01/25,Friday,17,Tacos,4
03/01/25,Friday,17,Sandwich,5
03/01/25,Friday,18,Sushi,10
03/01/25,Friday,18,Salad,9
03/01/25,Friday,18,Sushi,2
03/01/25,Friday,18,Curry,3
03/01/25,Friday,19,Pizza,7
03/01/25,Friday,19,Tacos,10
03/01/25,Friday,19,Tacos,8
03/01/25,Friday,20,Sushi,7
03/01/25,Friday,20,Sandwich,0
03/01/25,Friday,20,Salad,10
03/01/25,Friday,20,Sandwich,10
03/01/25,Friday,20,Curry,10
03/01/25,Friday,20,Sandwich,10
03/01/25,Friday,20,Sandwich,2
03/01/25,Friday,21,Burger,2
03/01/25,Friday,21,Curry,9
03/01/25,Friday,21,Tacos,10
03/01/25,Friday,21,Tacos,5
03/01/25,Friday,21,Sandwich,0
03/01/25,Friday,21,Burger,7
03/01/25,Friday,21,Sandwich,0
03/01/25,Friday,22,Sushi,1
03/01/25,Friday,22,Tacos,0
03/01/25,Friday,22,Sushi,3
03/01/25,Friday,22,Sandwich,8
03/01/25,Friday,23,Sandwich,9
03/01/25,Friday,23,Burger,7
03/01/25,Friday,23,Pizza,1
03/01/25,Friday,23,Tacos,3
03/01/25,Friday,23,Sandwich,5
03/01/25,Friday,23,Sandwich,0
03/01/25,Friday,23,Sushi,1
03/01/25,Friday,23,Sandwich,10
04/01/25,Saturday,0,Salad,6
04/01/25,Saturday,0,Sandwich,9
04/01/25,Saturday,0,Pizza,8
04/01/25,Saturday,0,Curry,0
04/01/25,Saturday,1,Curry,5
04/01/25,Saturday,1,Sandwich,10
04/01/25,Saturday,1,Burger,4
04/01/25,Saturday,1,Salad,10
04/01/25,Saturday,1,Salad,6
04/01/25,Saturday,1,Salad,9
04/01/25,Saturday,2,Sushi,10
04/01/25,Saturday,2,Burger,0
04/01/25,Saturday,2,Sandwich,1
04/01/25,Saturday,2,Pizza,3
04/01/25,Saturday,2,Sushi,8
04/01/25,Saturday,2,Sandwich,0
04/01/25,Saturday,3,Sushi,5
04/01/25,Saturday,3,Curry,7
04/01/25,Saturday,3,Sushi,1
04/01/25,Saturday,3,Sandwich,3
04/01/25,Saturday,3,Tacos,6
04/01/25,Saturday,3,Salad,6
04/01/25,Saturday,4,Curry,2
04/01/25,Saturday,4,Burger,8
04/01/25,Saturday,4,Sandwich,10
04/01/25,Saturday,4,Curry,7
04/01/25,Saturday,4,Sandwich,3
04/01/25,Saturday,5,Sandwich,7
04/01/25,Saturday,5,Sandwich,6
04/01/25,Saturday,5,Soup,3
04/01/25,Saturday,5,Curry,2
04/01/25,Saturday,6,Sandwich,7
04/01/25,Saturday,6,Burger,5
04/01/25,Saturday,6,Pizza,0
04/01/25,Saturday,6,Salad,4
04/01/25,Saturday,6,Salad,4
04/01/25,Saturday,6,Curry,6
04/01/25,Saturday,7,Sushi,8
04/01/25,Saturday,7,Sandwich,2
04/01/25,Saturday,7,Salad,2
04/01/25,Saturday,7,Sushi,8
04/01/25,Saturday,7,Sandwich,3
04/01/25,Saturday,7,Sandwich,5
04/01/25,Saturday,7,Sandwich,0
04/01/25,Saturday,7,Pizza,5
04/01/25,Saturday,8,Pizza,9
04/01/25,Saturday,8,Sandwich,7
04/01/25,Saturday,8,Curry,0
04/01/25,Saturday,8,Tacos,6
04/01/25,Saturday,9,Salad,3
04/01/25,Saturday,9,Soup,9
04/01/25,Saturday,9,Tacos,5
04/01/25,Saturday,9,Curry,7
04/01/25,Saturday,10,Sandwich,8
04/01/25,Saturday,10,Tacos,7
04/01/25,Saturday,10,Sandwich,1
04/01/25,Saturday,10,Tacos,8
04/01/25,Saturday,10,Sushi,8
04/01/25,Saturday,10,Tacos,5
04/01/25,Saturday,10,Sandwich,6
04/01/25,Saturday,10,Sandwich,8
04/01/25,Saturday,11,Curry,6
04/01/25,Saturday,11,Soup,2
04/01/25,Saturday,11,Tacos,10
04/01/25,Saturday,11,Soup,2
04/01/25,Saturday,11,Salad,5
04/01/25,Saturday,11,Tacos,2
04/01/25,Saturday,11,Soup,4
04/01/25,Saturday,11,Sandwich,7
04/01/25,Saturday,12,Soup,0
04/01/25,Saturday,12,Curry,9
04/01/25,Saturday,12,Soup,5
04/01/25,Saturday,12,Pizza,10
04/01/25,Saturday,13,Sandwich,7
04/01/25,Saturday,13,Tacos,8
04/01/25,Saturday,13,Burger,5
04/01/25,Saturday,13,Sandwich,3
04/01/25,Saturday,13,Pizza,4
04/01/25,Saturday,13,Curry,1
04/01/25,Saturday,14,Burger,3
04/01/25,Saturday,14,Burger,0
04/01/25,Saturday,14,Soup,2
04/01/25,Saturday,14,Sandwich,10
04/01/25,Saturday,14,Salad,8
04/01/25,Saturday,14,Burger,8
04/01/25,Saturday,15,Salad,10
04/01/25,Saturday,15,Tacos,10
04/01/25,Saturday,15,Soup,6
04/01/25,Saturday,15,Salad,3
04/01/25,Saturday,16,Tacos,9
04/01/25,Saturday,16,Sandwich,7
04/01/25,Saturday,16,Sandwich,8
04/01/25,Saturday,16,Sushi,2
04/01/25,Saturday,16,Sandwich,6
04/01/25,Saturday,16,Sandwich,9
04/01/25,Saturday,16,Sandwich,2
04/01/25,Saturday,16,Sandwich,0
04/01/25,Saturday,17,Sandwich,7
04/01/25,Saturday,17,Sandwich,0
04/01/25,Saturday,17,Sandwich,10
04/01/25,Saturday,17,Sushi,7
04/01/25,Saturday,17,Soup,10
04/01/25,Saturday,17,Pizza,9
04/01/25,Saturday,18,Tacos,3
04/01/25,Saturday,18,Sushi,0
04/01/25,Saturday,18,Curry,5
04/01/25,Saturday,18,Sandwich,3
04/01/25,Saturday,19,Sandwich,8
04/01/25,Saturday,19,Sandwich,5
04/01/25,Saturday,19,Tacos,7
04/01/25,Saturday,19,Sandwich,6
04/01/25,Saturday,20,Curry,3
04/01/25,Saturday,20,Sandwich,8
04/01/25,Saturday,20,Pizza,1
04/01/25,Saturday,20,Tacos,0
04/01/25,Saturday,20,Burger,8
04/01/25,Saturday,20,Burger,8
04/01/25,Saturday,20,Salad,10
04/01/25,Saturday,21,Sandwich,2
04/01/25,Saturday,21,Tacos,2
04/01/25,Saturday,21,Tacos,1
04/01/25,Saturday,22,Sandwich,3
04/01/25,Saturday,22,Sandwich,2
04/01/25,Saturday,22,Sushi,8
04/01/25,Saturday,22,Curry,1
04/01/25,Saturday,22,Soup,0
04/01/25,Saturday,22,Sandwich,1
04/01/25,Saturday,22,Pizza,2
04/01/25,Saturday,22,Sandwich,9
04/01/25,Saturday,23,Soup,4
04/01/25,Saturday,23,Sandwich,9
04/01/25,Saturday,23,Pizza,1
04/01/25,Saturday,23,Soup,7
04/01/25,Saturday,23,Salad,2
04/01/25,Saturday,23,Curry,1
04/01/25,Saturday,23,Sandwich,3
04/01/25,Saturday,23,Sandwich,2
05/01/25,Sunday,0,Sushi,9
05/01/25,Sunday,0,Burger,4
05/01/25,Sunday,0,Sandwich,10
05/01/25,Sunday,0,Burger,2
05/01/25,Sunday,0,Pizza,5
05/01/25,Sunday,0,Sandwich,2
05/01/25,Sunday,1,Burger,7
05/01/25,Sunday,1,Curry,2
05/01/25,Sunday,1,Sushi,3
05/01/25,Sunday,2,Sandwich,7
05/01/25,Sunday,2,Pizza,0
05/01/25,Sunday,2,Sandwich,8
05/01/25,Sunday,2,Curry,3
05/01/25,Sunday,2,Salad,0
05/01/25,Sunday,2,Sandwich,7
05/01/25,Sunday,2,Sandwich,4
05/01/25,Sunday,2,Sandwich,10
05/01/25,Sunday,3,Tacos,5
05/01/25,Sunday,3,Curry,8
05/01/25,Sunday,3,Curry,7
05/01/25,Sunday,3,Curry,7
05/01/25,Sunday,4,Burger,6
05/01/25,Sunday,4,Salad,10
05/01/25,Sunday,4,Sandwich,4
05/01/25,Sunday,4,Soup,9
05/01/25,Sunday,5,Sandwich,0
05/01/25,Sunday,5,Burger,4
05/01/25,Sunday,5,Curry,2
05/01/25,Sunday,6,Pizza,7
05/01/25,Sunday,6,Salad,9
05/01/25,Sunday,6,Tacos,7
05/01/25,Sunday,6,Tacos,5
05/01/25,Sunday,6,Sandwich,1
05/01/25,Sunday,6,Soup,10
05/01/25,Sunday,7,Tacos,3
05/01/25,Sunday,7,Sushi,1
05/01/25,Sunday,7,Pizza,2
05/01/25,Sunday,7,Soup,0
05/01/25,Sunday,7,Sandwich,10
05/01/25,Sunday,7,Sandwich,1
05/01/25,Sunday,7,Sandwich,4
05/01/25,Sunday,7,Sandwich,7
05/01/25,Sunday,8,Sandwich,10
05/01/25,Sunday,8,Soup,4
05/01/25,Sunday,8,Sushi,5
05/01/25,Sunday,9,Soup,8
05/01/25,Sunday,9,Sandwich,5
05/01/25,Sunday,9,Salad,5
05/01/25,Sunday,9,Soup,1
05/01/25,Sunday,9,Salad,9
05/01/25,Sunday,9,Sandwich,10
05/01/25,Sunday,10,Sandwich,9
05/01/25,Sunday,10,Pizza,9
05/01/25,Sunday,10,Pizza,4
05/01/25,Sunday,11,Curry,4
05/01/25,Sunday,11,Salad,9
05/01/25,Sunday,11,Burger,3
05/01/25,Sunday,11,Curry,2
05/01/25,Sunday,11,Sandwich,8
05/01/25,Sunday,11,Burger,4
05/01/25,Sunday,12,Sushi,8
05/01/25,Sunday,12,Salad,3
05/01/25,Sunday,12,Burger,2
05/01/25,Sunday,12,Curry,5
05/01/25,Sunday,13,Tacos,1
05/01/25,Sunday,13,Sandwich,2
05/01/25,Sunday,13,Sandwich,3
05/01/25,Sunday,13,Soup,4
05/01/25,Sunday,13,Sandwich,10
05/01/25,Sunday,13,Soup,10
05/01/25,Sunday,13,Salad,4
05/01/25,Sunday,14,Pizza,0
05/01/25,Sunday,14,Curry,5
05/01/25,Sunday,14,Sushi,3
05/01/25,Sunday,14,Tacos,0
05/01/25,Sunday,15,Pizza,1
05/01/25,Sunday,15,Sandwich,5
05/01/25,Sunday,15,Pizza,9
05/01/25,Sunday,15,Sushi,7
05/01/25,Sunday,15,Sushi,1
05/01/25,Sunday,15,Sushi,6
05/01/25,Sunday,15,Pizza,0
05/01/25,Sunday,15,Soup,0
05/01/25,Sunday,16,Soup,4
05/01/25,Sunday,16,Sandwich,4
05/01/25,Sunday,16,Salad,10
05/01/25,Sunday,16,Burger,5
05/01/25,Sunday,16,Curry,6
05/01/25,Sunday,16,Soup,10
05/01/25,Sunday,17,Soup,2
05/01/25,Sunday,17,Curry,0
05/01/25,Sunday,17,Sandwich,5
05/01/25,Sunday,18,Salad,0
05/01/25,Sunday,18,Sandwich,7
05/01/25,Sunday,18,Sandwich,0
05/01/25,Sunday,18,Burger,8
05/01/25,Sunday,18,Sandwich,1
05/01/25,Sunday,18,Salad,1
05/01/25,Sunday,19,Curry,10
05/01/25,Sunday,19,Sandwich,5
05/01/25,Sunday,19,Tacos,6
05/01/25,Sunday,20,Salad,5
05/01/25,Sunday,20,Sandwich,1
05/01/25,Sunday,20,Soup,5
05/01/25,Sunday,21,Salad,6
05/01/25,Sunday,21,Soup,0
05/01/25,Sunday,21,Sandwich,6
05/01/25,Sunday,21,Sandwich,10
05/01/25,Sunday,21,Pizza,8
05/01/25,Sunday,21,Burger,10
05/01/25,Sunday,21,Curry,5
05/01/25,Sunday,22,Sushi,9
05/01/25,Sunday,22,Pizza,2
05/01/25,Sunday,22,Salad,3
05/01/25,Sunday,22,Curry,8
05/01/25,Sunday,23,Salad,5
05/01/25,Sunday,23,Soup,8
05/01/25,Sunday,23,Burger,9
06/01/25,Monday,0,Salad,5
06/01/25,Monday,0,Curry,8
06/01/25,Monday,0,Sandwich,4
06/01/25,Monday,0,Sandwich,10
06/01/25,Monday,1,Sushi,7
06/01/25,Monday,1,Soup,8
06/01/25,Monday,1,Sandwich,5
06/01/25,Monday,1,Sandwich,3
06/01/25,Monday,2,Tacos,7
06/01/25,Monday,2,Soup,5
06/01/25,Monday,2,Burger,6
06/01/25,Monday,2,Sushi,6
06/01/25,Monday,2,Burger,8
06/01/25,Monday,2,Pizza,10
06/01/25,Monday,2,Burger,7
06/01/25,Monday,3,Salad,10
06/01/25,Monday,3,Sandwich,6
06/01/25,Monday,3,Pizza,2
06/01/25,Monday,3,Burger,1
06/01/25,Monday,3,Salad,1
06/01/25,Monday,4,Soup,6
06/01/25,Monday,4,Salad,3
06/01/25,Monday,4,Pizza,10
06/01/25,Monday,5,Salad,10
06/01/25,Monday,5,Sandwich,6
06/01/25,Monday,5,Curry,0
06/01/25,Monday,5,Soup,4
06/01/25,Monday,5,Soup,4
06/01/25,Monday,5,Soup,6
06/01/25,Monday,6,Tacos,9
